SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1374890,-73.601861,41.260222,6.29689,-4.52385,558569,0.241899,1.05581,17.174099,347584000,5170370000.0,44116400,38.2896,333.72,4.07034,0.077181,0.260184,0.260184,6.422079,6.157115,54.251114,52.92306,54.2511,6.01611,4.306406,4.30809,75294.40628,2.206667,1.355853245,6.46
1374581,-73.736111,41.449944,7.0927,-4.69142,757161,0.455451,1.08509,17.452326,327704000,5437750000.0,57484500,41.6337,528.53,1.88451,0.125363,0.425634,0.425634,6.30731,6.190344,52.462978,51.230822,52.463,6.0921,4.196696,4.21444,83203.94605,1.241146,1.263781194,9.08
137462010,-73.69375,41.411806,6.75362,-4.41875,1308120,0.408136,3.02559,17.00555,294416000,1175600000.0,103394000,44.4426,446.96,2.48582,0.070753,0.425634,0.425634,6.30731,6.135644,53.187431,51.827379,53.1314,6.04502,4.205416,4.23075,81338.95738,2.461848,1.186034228,5.88
1374701,-73.667972,41.358,6.44212,-4.34098,2949840,0.350446,13.2968,16.335561,293465984,-49713200000.0,207494000,41.2559,205.48,4.60415,0.024423,0.345965,0.421589,6.30731,6.098638,53.970181,52.327697,53.5263,6.05115,4.216057,4.26043,77398.56728,3.686146,1.149707802,7.07
1374821,-73.655639,41.327111,5.69581,-4.36806,6486790,0.318005,1.95202,19.035335,275052000,-124668000.0,61881100,39.6609,199.49,4.32978,5.4e-05,0.345965,0.26908,6.734938,6.370934,53.722622,51.520598,53.7226,6.05831,4.284772,4.2755,77732.33576,1.809167,1.007950825,8.75
1374930,-73.768694,41.338139,4.85814,-3.76913,438021,0.357825,3.03872,15.907212,179895008,3690880000.0,34539200,30.2878,498.21,9.17459,0.106948,0.345965,0.39733,6.06915,6.043359,54.33083,53.751555,54.3308,6.02879,4.234836,4.25052,74113.23479,4.420521,1.296682527,8.46
1374941,-73.753639,41.287611,4.55407,-3.65777,1007900,0.305208,0.651558,18.215673,155268992,9748630000.0,50506300,28.5025,313.93,8.98158,0.071711,0.345965,0.380512,6.06915,6.03544,55.117863,54.04126,55.1179,6.02137,4.241607,4.26975,71008.15107,8.590625,1.225604879,11.57
137449480,-73.556083,41.44725,6.7901,-4.5828,1946720,0.398057,0.386203,19.34293,270016000,1580180000.0,154640000,54.6565,414.81,3.20021,0.038488,0.347537,0.362512,6.462103,6.062515,53.06411,52.250891,51.2207,6.31673,4.200663,4.22877,88460.93341,3.264896,1.288033403,10.46
1374505,-73.607472,41.394583,6.50866,-4.45221,2592720,0.370593,12.3056,16.286273,266675008,9700830000.0,205081000,50.4753,315.74,3.72193,0.014592,0.347537,0.356508,6.692687,6.153727,53.06411,51.899449,52.1741,6.20415,4.21177,4.24804,83549.62689,3.050625,1.159948724,7.83
1374531,-73.639583,41.373389,6.4904,-4.43816,2924290,0.360568,1.42026,18.546203,269865984,344180000.0,219196000,49.291,270.5,4.08824,0.005355,0.425634,0.358088,6.692687,6.154549,53.06411,51.930242,52.702,6.14046,4.213627,4.25831,82333.45368,1.617292,1.218154911,8.63
1374781,-73.591472,41.327361,5.60845,-4.61122,552958,0.303099,5.53194,15.547339,259660000,-1934700000.0,33444100,39.2535,331.84,5.9426,0.057829,0.260184,0.260184,6.734938,6.525862,51.801674,50.537784,52.4021,6.22452,4.288975,4.28496,80873.35558,1.929479,0.928704439,6.6
1374559,-73.759583,41.470472,6.95186,-4.72131,369281,0.481995,14.1579,14.192663,332233984,-8706530000.0,28273400,38.7063,586.6,1.30302,0.155364,0.425634,0.425634,6.30731,6.236484,51.547764,50.858682,51.8308,6.14341,4.19513,4.20451,83404.89377,0.95375,1.042717591,5.01
1374598,-73.689472,41.475861,6.02025,-4.66818,137751,0.470245,4.00981,14.476887,273647008,8392130000.0,10398000,45.9744,539.63,2.83176,0.094308,0.425634,0.425634,6.097071,6.07508,52.39045,52.176856,52.3904,6.06039,4.202001,4.20676,88948.34114,0.742257,1.24370986,3.38
